Symbol|Name|Date|mkt_val|rbics_econn|rbics_econ|rbics_sectn|rbics_sect|rbics_subsectn|rbics_subsect|rbics_indgrpn|rbics_indgrp|rbics_indn|rbics_ind|rbics_subindn|rbics_subind|msci_esg_env|msci_esg_gov|msci_esg_social|sales_total|sales_ps|sales_growth|MSCI ESG Ovr Score|MSCI ESG Ovr Score
A|Agilent Technologies, Inc.|12/31/2007|13593.8|35|Healthcare|3520|Healthcare Equipment|352015|General Medical Devices|35201515|Diversified Medical Devices and Instruments|3520151510|Diversified Medical Devices and Instruments|352015151010|Diversified Medical Devices and Instruments|7.01999998092651|8.94999980926514|7.57999992370605|5420|13.3497536945813|-2.25428313796213|10|AAA
APD|Air Products and Chemicals, Inc.|12/31/2007|21151.01560985|45|Non-Energy Materials|4510|Chemical, Plastic and Rubber Materials|451010|Commodity Chemicals|45101015|Other Commodity Chemical Manufacturing|4510101515|Industrial Gas Manufacturing|451010151510|Industrial Gas Manufacturing|6.40000009536743|7|8.0600004196167|10078.9|44.9722222222222|11.7444232560203|7.17999982833862|AA
AKAM|Akamai Technologies, Inc.|12/31/2007|5750.9572748|55|Technology|5520|Software and Consulting|552010|Internet and Data Services|55201020|Internet Hosting Services|5520102010|Colocation and Data Center Services|552010201010|Colocation and Data Center Services|5.28999996185303|6.61999988555908|6.8899998664856|636.406|3.43828541173674|48.4598947446999|3.05999994277954|BB
AA|Alcoa Corp.|12/31/2007|30241.5357900007|45|Non-Energy Materials|4515|Mining and Mineral Products|451510|Metal Products|45151020|Primary Metals Products|4515102010|Alumina and Aluminum Products Manufacturing|451510201025|Multi-Type Alumina and Aluminum Product Makers|NA|NA|NA|30748|303.24511235351|0.773466177241741|NA|@NA
AYE|Allegheny Energy|12/31/2007|10640.23991909|65|Utilities|6510|Utilities|651010|Energy Utilities|65101020|Other Electric and Natural Gas Utilities|6510102020|Other United States Energy Utilities|651010202010|Other United States Energy Utilities|2.5|3.79999995231628|3.5699999332428|3307.02|19.5141265607666|5.94366983192958|0.419999986886978|CCC
ATI|Allegheny Technologies Incorporated|12/31/2007|8777.0592576|@NA|@NA|@NA|@NA|@NA|@NA|@NA|@NA|@NA|@NA|@NA|@NA|3.10999989509583|3.20000004768372|3.4300000667572|5452.5|52.9574592074592|10.4505124984807|0|CCC
AGN.2|Allergan, Inc.|12/31/2007|19651.46568|35|Healthcare|3510|Biopharmaceuticals|351015|Other Biopharmaceuticals|35101540|Diversified Biopharmaceuticals|3510154010|Diversified Biopharmaceuticals|351015401010|Diversified Biopharmaceuticals|6.67000007629395|4.90000009536743|5.05000019073486|3958.9|12.7596371882086|29.6809486373166|4.69000005722046|BBB
AW|Allied Waste Industries Inc.|12/31/2007|4081.808|10|Business Services|1010|Business Services|101025|Waste Management Services|10102510|General Waste Collection|1010251010|General Waste Collection|101025101010|General Waste Collection|3.88000011444092|5|4.03999996185303|6093.5|13.6990970654628|1.34045136290308|0|CCC
ALL|Allstate Corporation|12/31/2007|29405.49|30|Finance|3015|Insurance|301510|Insurance|30151020|Property and Casualty Insurance|3015102015|Personal Insurance|301510201525|Other Personal Insurance|3.28999996185303|4.42000007629395|4.63000011444092|36785|61.5317580023462|2.70262724404612|3.6800000667572|BB
ALTR.1|Altera Corporation|12/31/2007|6066.84708|55|Technology|5510|Electronic Components and Manufacturing|551020|Semiconductor Manufacturing|55102035|Programmable Logic and ASIC Semiconductors|5510203515|Programmable Logic Device Semiconductors|551020351510|Programmable Logic Device Semiconductors|5.94999980926514|4.5|5.44000005722046|1263.548|3.59058384909607|-1.71033849720156|3.75|BB
MO|Altria Group Inc|12/31/2007|159298.20967196|50|Consumer Non-Cyclicals|5015|Food and Tobacco Production|501520|Tobacco Production|50152010|Cigarette Manufacturing|5015201010|Cigarette Manufacturing|501520101010|Cigarette Manufacturing|4.07999992370605|3|4.1399998664856|38051|7.1890359168242|-29.4803365580637|1.36000001430511|CCC
AMZN|Amazon.com, Inc.|12/31/2007|38538.24|20|Consumer Cyclicals|2025|Consumer Retail|202515|Electronics and Entertainment Retail|20251520|Mixed Electronics and Entertainment Retail|2025152010|Mixed Electronics and Entertainment Retail|202515201010|Mixed Electronics and Entertainment Retail|4.94999980926514|4.59000015258789|5.05999994277954|14835|34.9882075471698|38.5024740920549|4.88000011444092|BBB
ABKFQ|Ambac Financial Group Inc.|12/31/2007|2616.94409271|@NA|@NA|@NA|@NA|@NA|@NA|@NA|@NA|@NA|@NA|@NA|@NA|NA|NA|NA|1053.905|13.3928957443162|-43.6260389871243|NA|@NA
AEE|Ameren Corporation|12/31/2007|11291.943|65|Utilities|6510|Utilities|651010|Energy Utilities|65101010|Electric Utilities|6510101020|United States Regional Electric Utilities|651010102010|United States Midwest Electric Utilities|3.99000000953674|3.51999998092651|5.3899998664856|7546|36.3934426229508|9.68023255813953|2.34999990463257|B
ACAS|American Capital Strategies Ltd.|12/31/2007|6456.864|30|Finance|3020|Investment Services|302010|Investment Services|30201020|Investment Holding Companies|3020102015|Business Development Companies|302010201510|Business Development Companies|NA|NA|NA|1460|8.25325042396834|59.5558664102116|NA|@NA
AEP|American Electric Power Company, Inc.|12/31/2007|18643.86733824|65|Utilities|6510|Utilities|651010|Energy Utilities|65101010|Electric Utilities|6510101015|Other United States Electric Utilities|651010101515|Other United States Electric Utilities|4.03000020980835|3.16000008583069|3.78999996185303|13380|33.4333836918886|6.00538741879258|2.49000000953674|B
AXP|American Express Company|12/31/2007|60239.16|30|Finance|3030|Specialty Finance and Services|303010|Specialty Finance|30301015|Consumer Finance Services|3030101535|General Consumer Finance Services|303010153510|General Consumer Finance Services|2.95000004768372|6.94000005722046|6.19000005722046|32183|26.3854515050167|15.3760665376067|6.57999992370605|A
AIG|American International Group, Inc.|12/31/2007|147474.7504065|30|Finance|3015|Insurance|301510|Insurance|30151030|Diversified Insurance|3015103010|Diversified Insurance|301510301010|Diversified Insurance|9.52999973297119|7.73999977111816|6.07000017166138|122432|951.855273287144|8.16120995812499|10|AAA
AMT|American Tower Corporation|12/31/2007|17019.4898892|60|Telecommunications|6010|Telecommunications|601010|Other Telecommunications Services|60101040|Telecommunications Industry Software and Services|6010104015|Wireless Infrastructure Services|601010401510|Wireless Infrastructure Services|4.57999992370605|5.57000017166138|5.26999998092651|1451.694|3.40921284550518|9.74527228536762|2.85999989509583|BB
AMP|Ameriprise Financial, Inc.|12/31/2007|12551.18362773|30|Finance|3020|Investment Services|302010|Investment Services|30201030|Diversified Investment|3020103010|Diversified Investment|302010301010|Diversified Investment|3.78999996185303|4.82999992370605|4.67000007629395|8914|37.157148812005|9.48169982805208|3.14000010490417|BB
ABC|AmerisourceBergen Corporation|12/31/2007|7292.85261397|35|Healthcare|3515|Healthcare Services|351510|Healthcare Support Services|35151020|Healthcare Distributors|3515102020|Other Pharmaceuticals Distributors|351510202010|Other Pharmaceuticals Distributors|5.65999984741211|6.59999990463257|5.30999994277954|66721.834|175.836177256421|5.44673520863743|3.36999988555908|BB
AMGN|Amgen Inc.|12/31/2007|50480.28|35|Healthcare|3510|Biopharmaceuticals|351020|System-Specific Biopharmaceuticals|35102030|Hematology Biopharmaceuticals|3510203010|Hematology Biopharmaceuticals|351020301010|Hematology Biopharmaceuticals|7.23000001907349|5.55999994277954|5.8600001335144|14771|13.153161175423|3.52537146061116|6.05000019073486|A
APC|Anadarko Petroleum Corporation|12/31/2007|30742.92|25|Energy|2510|Upstream Energy|251015|Fossil Fuel Exploration and Production|25101510|Americas Fossil Fuel Exploration and Production|2510151015|Pan-US Fossil Fuel Exploration/Production|251015101520|Pan-US Fossil Fuel Exploration/Production|3.60999989509583|2.10999989509583|3.29999995231628|11759|25.008547008547|22.3239363362114|0.959999978542328|CCC
ADI|Analog Devices, Inc.|12/31/2007|9616.327506|55|Technology|5510|Electronic Components and Manufacturing|551020|Semiconductor Manufacturing|55102010|Analog and Mixed Signal Semiconductors|5510201010|General Analog and Mixed Signal Semiconductors|551020101010|General Analog and Mixed Signal Semiconductors|4.61999988555908|4.82999992370605|5.21999979019165|2689.536|7.41713386357549|4.52203813497406|4.19999980926514|BB
BUD.2|Anheuser-Busch Companies Inc.|12/31/2007|37752.842|50|Consumer Non-Cyclicals|5015|Food and Tobacco Production|501515|Food and Beverage Production|50151510|Beverages Production|5015151010|Alcoholic Beverage Production|501515101010|Breweries|NA|NA|NA|16685.7|22.038964469687|6.16271449567668|NA|@NA
AON|Aon plc|12/31/2007|14512.067|30|Finance|3015|Insurance|301510|Insurance|30151010|Insurance Brokerage|3015101010|Insurance Brokerage|301510101010|Insurance Brokerage|NA|NA|NA|7467|23.1547987616099|-20.3265044814341|NA|@NA
APA|Apache Corporation|12/31/2007|35802.98495822|25|Energy|2510|Upstream Energy|251015|Fossil Fuel Exploration and Production|25101510|Americas Fossil Fuel Exploration and Production|2510151010|Other Americas Fossil Fuel Exploration/Production|251015101030|Pan-Americas Fossil Fuel Exploration/Production|4.34000015258789|4.67000007629395|4.86999988555908|9994.617|29.8707007854248|21.7681708343151|3.57999992370605|BB
AIV|Apartment Investment and Management Company Class A|12/31/2007|3338.61525178|30|Finance|3025|Real Estate|302520|Real Estate Investment Trusts (REITs)|30252015|Equity REITs|3025201510|Equity REITs|302520151010|Apartment Equity REITs|3.32999992370605|5.34000015258789|4.73999977111816|1742.085|17.2297624185729|2.19677139662495|1.25999999046326|CCC
APOL|Apollo Education Group, Inc. Class A|12/31/2007|11766.04905|50|Consumer Non-Cyclicals|5025|Household Services|502510|Personal Professional Services|50251010|Educational Services|5025101015|Post-Secondary Educational Services|502510101510|Colleges|1|2.59999990463257|5.59999990463257|2836.681|15.6897807065546|12.7931879090555|2.85999989509583|BB
AAPL|Apple Inc.|12/31/2007|174038.80597536|55|Technology|5515|Hardware|551520|Computer Hardware and Storage|55152015|Computer Systems|5515201515|Multi-Type Business and Personal Systems|551520151510|Multi-Type Business and Personal Systems|6.61999988555908|5|5.65000009536743|26499|3.8563584771931|28.1321019293071|5.40000009536743|BBB
ABI|Applera Corp-Applied Biosystems|12/31/2007|5677.428688|@NA|@NA|@NA|@NA|@NA|@NA|@NA|@NA|@NA|@NA|@NA|@NA|NA|NA|NA|2150.359|11.0066614090431|6.45020125629868|NA|@NA
AMAT|Applied Materials, Inc.|12/31/2007|24610.22736|55|Technology|5510|Electronic Components and Manufacturing|551030|Semiconductor Equipment and Services|55103010|Semiconductor Manufacturing Capital Equipment|5510301015|Semiconductor Front End Processing Equipment|551030101515|Other Front End Processing Equipment Makers|5.98999977111816|7.17000007629395|7.71999979019165|9734.856|6.82189373245447|6.19440528835233|5.44000005722046|BBB
ADM|Archer-Daniels-Midland Company|12/31/2007|29849.42913|50|Consumer Non-Cyclicals|5015|Food and Tobacco Production|501510|Agriculture|50151015|Crop Production|5015101525|Diversified Crop Production|501510152510|Diversified Crop Production|3.72000002861023|5.5|4.90000009536743|52919.039|67.1006097560976|35.3665674011638|0.819999992847443|CCC
ASH|Ashland Inc.|12/31/2007|2983.47349581|40|Industrials|4015|Industrial Services|401520|Diversified Industrials Distribution|40152015|Materials Distributors|4015201510|Chemical and Allied Products Distributors|401520151010|Other Chemical and Allied Product Distributors|NA|NA|NA|7888|123.571428571429|-9.093004494641|NA|@NA
AIZ|Assurant, Inc.|12/31/2007|7881.3556683|30|Finance|3015|Insurance|301510|Insurance|30151030|Diversified Insurance|3015103010|Diversified Insurance|301510301010|Diversified Insurance|4.07000017166138|4.53000020980835|5.42999982833862|8420.376|69.339635261642|4.81860220552393|4.69000005722046|BBB
T|AT&T Inc.|12/31/2007|251169.74054844|60|Telecommunications|6010|Telecommunications|601015|Wireless and Wireline Telecommunications Services|60101515|Wireline Services|6010151530|United States Wireline Services|601015153010|Multi-Type United States Wireline Services|4.13000011444092|4.57999992370605|4.78000020980835|118928|19.2752025931929|88.4903716617799|5.19000005722046|BBB
ADSK|Autodesk, Inc.|12/31/2007|11489.584|55|Technology|5520|Software and Consulting|552015|Software|55201510|Design and Engineering Software|5520151010|Computer Aided Design Software|552015101010|Computer Aided Design (CAD) Software|7.8600001335144|6.57000017166138|7.57000017166138|2070.4|7.56414473684211|17.7166249715715|7.26000022888184|AA
ADP|Automatic Data Processing, Inc.|12/31/2007|23217.942|10|Business Services|1010|Business Services|101015|Other Professional Services|10101510|Administrative Services|1010151010|Administrative Employment Services|101015101030|Other Human Resources Consulting and PEO Services|2.60999989509583|2.75999999046326|4.05000019073486|8277.1|13.9810001792436|-7.8612536595683|2.84999990463257|B
AN|AutoNation, Inc.|12/31/2007|2824.38382356|20|Consumer Cyclicals|2015|Miscellaneous Retail|201510|Auto Retail|20151015|Motor Vehicle Sales|2015101510|Automobile Dealers|201510151015|New Car Dealers|3.1800000667572|5.59000015258789|5.03000020980835|17759.5|88.4575|-5.82461461774642|4.28999996185303|BBB
AZO|AutoZone, Inc.|12/31/2007|7575.7519215|20|Consumer Cyclicals|2015|Miscellaneous Retail|201510|Auto Retail|20151020|Motor Vehicles and Parts Sales and Rental|2015102015|Automotive Parts, Accessories and Tires Sales|201510201510|Automotive Parts and Accessories Stores|2.63000011444092|4.40000009536743|5.01999998092651|6232.39|88.3369222839471|3.81523776399436|2.85999989509583|BB
AVB|AvalonBay Communities, Inc.|12/31/2007|7278.77403954|30|Finance|3025|Real Estate|302520|Real Estate Investment Trusts (REITs)|30252015|Equity REITs|3025201510|Equity REITs|302520151010|Apartment Equity REITs|4.17999982833862|5.96999979019165|3.75999999046326|819.152|10.1774640038428|11.5248154531914|1.85000002384186|B
AVY|Avery Dennison Corporation|12/31/2007|5228.27970658|45|Non-Energy Materials|4520|Manufactured Products|452010|Forestry and Paper Products|45201020|Paper and Paper Products|4520102015|Printing and Stationary Paper Products|452010201510|Printing and Stationary Paper Products|4.19999980926514|3.64000010490417|4.13000011444092|6307.8|63.7795753286148|13.1261321042343|2.84999990463257|B
AVP|Avon Products, Inc.|12/31/2007|16906.981|50|Consumer Non-Cyclicals|5020|Household Products|502020|Personal Care and Cleaning Products|50202025|General Personal Care and Cleaning Products Makers|5020202510|General Personal Care and Cleaning Products Makers|502020251010|General Personal Care and Cleaning Products Makers|6.73999977111816|8.56999969482422|7.28999996185303|9938.7|22.7487468241434|13.4049909286961|8.64999961853027|AAA
BHGE|Baker Hughes Inc.|12/31/2007|25578.94|25|Energy|2510|Upstream Energy|251020|Support Activities for Oil and Gas Operations|25102015|Oil and Gas Field Support Activities|2510201510|Oil and Gas Field Equipment Manufacturing|251020151010|Diverse Oil and Gas Field Equipment Manufacturing|5.59000015258789|4.67000007629395|3.5|10428.2|32.5779443923774|15.5172031814254|4.82999992370605|BBB
BLL|Ball Corporation|12/31/2007|4510.10025|45|Non-Energy Materials|4520|Manufactured Products|452015|Containers and Packaging|45201510|Metal Packaging Products|4520151010|Metal Cans and Closures Manufacturing|452015101010|Metal Cans and Closures Manufacturing|2.84999990463257|3.17000007629395|5.3899998664856|7475.3|18.1863079019074|12.8943592841501|2.85999989509583|BB
BAC|Bank of America Corp|12/31/2007|183107.15238794|30|Finance|3010|Banking|301020|United States Banks|30102010|United States Commercial Banks|3010201010|Other United States Commercial Banks|301020101010|Other United States Commercial Banks|4.32999992370605|5|3.25999999046326|115537|25.7980909118099|2.41007640624723|2.85999989509583|BB
BK|Bank of New York Mellon Corporation|12/31/2007|55878.14478156|30|Finance|3020|Investment Services|302010|Investment Services|30201025|Securities Sales and Trading Services|3020102515|Other Securities Sales and Trading Services|302010251510|Other Clearing and Settlement Services|4.01000022888184|1.62000000476837|4.07000017166138|14668|15.6926684811448|58.2649978420371|0|CCC
BRL|Barr Pharmaceuticals Inc.|12/31/2007|5724.720027|35|Healthcare|3510|Biopharmaceuticals|351015|Other Biopharmaceuticals|35101540|Diversified Biopharmaceuticals|3510154010|Diversified Biopharmaceuticals|351015401010|Diversified Biopharmaceuticals|5.51999998092651|4.15000009536743|3.50999999046326|2506.406|23.0190461286373|36.7523895054905|2.20000004768372|B
BAX|Baxter International Inc.|12/31/2007|36782.67910815|@NA|@NA|@NA|@NA|@NA|@NA|@NA|@NA|@NA|@NA|@NA|@NA|7.55000019073486|8.01000022888184|7.01999998092651|11263|17.2217125382263|8.52765465407593|9.8100004196167|AAA
BBT|BB&T Corporation|12/31/2007|16744.43985|30|Finance|3010|Banking|301020|United States Banks|30102010|United States Commercial Banks|3010201015|United States East and South Commercial Banks|301020101525|United States South Atlantic Commercial Banks|5.09000015258789|5.19000005722046|8.03999996185303|10665|19.3382932642205|13.271007550126|6.21999979019165|A
BSC.1|Bear Stearns Companies|12/31/2007|9972.128215|@NA|@NA|@NA|@NA|@NA|@NA|@NA|@NA|@NA|@NA|@NA|@NA|NA|NA|NA|16151.382|110.288763721207|-2.4169347655328|NA|@NA
BDX|Becton, Dickinson and Company|12/31/2007|20398.16637936|35|Healthcare|3520|Healthcare Equipment|352015|General Medical Devices|35201515|Diversified Medical Devices and Instruments|3520151510|Diversified Medical Devices and Instruments|352015151010|Diversified Medical Devices and Instruments|5.57000017166138|6.19000005722046|7.07999992370605|6563.949|24.9315058278717|10.8346059262191|7.46000003814697|AA
BBBY|Bed Bath & Beyond Inc.|12/31/2007|7698.79867|20|Consumer Cyclicals|2025|Consumer Retail|202520|Home Improvement Retail|20252015|Furniture and Home Furnishings Stores|2025201520|Home Decor and Furnishings Stores|202520152010|Home Decor and Furnishings Stores|2.98000001907349|3.73000001907349|4.15000009536743|7110.743|23.2226343716223|12.7307786758482|2.85999989509583|BB
BMS|Bemis Company, Inc.|12/31/2007|2752.1925599|45|Non-Energy Materials|4520|Manufactured Products|452020|Other Materials|45202015|Diversified Materials|4520201510|Diversified Materials|452020151010|Diversified Materials|3.24000000953674|4|5.32999992370605|3649.281|35.0508192942352|0.272520218510783|2.85999989509583|BB
BBY|Best Buy Co., Inc.|12/31/2007|22085.8326|20|Consumer Cyclicals|2025|Consumer Retail|202515|Electronics and Entertainment Retail|20251510|Electronics Retail|2025151025|General Electronics Retail|202515102510|General Electronics Retail|4.73999977111816|6.28999996185303|5.19999980926514|39504|72.4183796856106|17.1252371916509|5.17999982833862|BBB
BIG|Big Lots, Inc.|12/31/2007|1532.35368|50|Consumer Non-Cyclicals|5010|Food and Staples Retail|501015|General Merchandise Retail|50101515|Discount Stores|5010151510|General Discount Stores|501015151010|General Discount Stores|1.45000004768372|4.40999984741211|2.08999991416931|4789.282|42.3751273117127|4.28267585478887|1.03999996185303|CCC
BIIB|Biogen Inc.|12/31/2007|16831.13016|35|Healthcare|3510|Biopharmaceuticals|351015|Other Biopharmaceuticals|35101540|Diversified Biopharmaceuticals|3510154010|Diversified Biopharmaceuticals|351015401010|Diversified Biopharmaceuticals|2.98000001907349|4.78000020980835|4.1399998664856|2567.869|8.02045469452261|20.287007825144|2.85999989509583|BB
BJS|BJ Services Co|12/31/2007|7107.62202|25|Energy|2510|Upstream Energy|251020|Support Activities for Oil and Gas Operations|25102020|Oil and Gas Operations Support Activities|2510202040|Oil and Gas Well Servicing|251020204010|Oil and Gas Well Servicing|3.92000007629395|2.32999992370605|4.96999979019165|4903.534|16.2289602454751|6.69962832186921|2.54999995231628|B
BDK|Black & Decker Corporation|12/31/2007|4382.63730695|40|Industrials|4010|Industrial Manufacturing|401020|Machinery Manufacturing|40102035|Tools and Outdoor Care Equipment|4010203525|Tools and Outdoor Care Building Hand Tool Products|401020352510|Tools and Outdoor Care Building Hand Tool Products|5.03000020980835|5.8899998664856|6.42999982833862|6563.2|99.4424242424242|1.79765173018164|3.82999992370605|BB
BMC|BMC Software, Inc.|12/31/2007|6871.392|55|Technology|5520|Software and Consulting|552015|Software|55201535|IT Infrastructure Software|5520153520|Diversified IT Infrastructure Software|552015352010|Diversified IT Infrastructure Software|5.34999990463257|7.44999980926514|7.69999980926514|1684.1|7.5185537583254|7.34272420166995|6.01000022888184|A
BA|Boeing Company|12/31/2007|67173.12727794|40|Industrials|4010|Industrial Manufacturing|401010|Aerospace and Defense Manufacturing|40101010|Aerospace Equipment|4010101010|Aviation Equipment|401010101025|Aircraft Manufacturing|6.30999994277954|4.67000007629395|7.05999994277954|66387|85.9378640776699|7.89371038517796|5.57000017166138|BBB
BXP|Boston Properties, Inc.|12/31/2007|10971.52314785|30|Finance|3025|Real Estate|302520|Real Estate Investment Trusts (REITs)|30252015|Equity REITs|3025201510|Equity REITs|302520151045|Office Equity REITs|3.95000004768372|6.75|5.28999996185303|1392.583|11.5299138930286|-3.34983055129303|2.75|B
BSX|Boston Scientific Corporation|12/31/2007|17343.06201493|35|Healthcare|3520|Healthcare Equipment|352015|General Medical Devices|35201510|System-Specific General Medical Devices|3520151010|Cardiology Medical Devices|352015101010|Cardiology Non-Surgical Devices|3.64000010490417|2.33999991416931|2.95000004768372|8358|5.62041831999462|6.86612965093978|0|CCC
BMY|Bristol-Myers Squibb Company|12/31/2007|52350.48|35|Healthcare|3510|Biopharmaceuticals|351015|Other Biopharmaceuticals|35101540|Diversified Biopharmaceuticals|3510154010|Diversified Biopharmaceuticals|351015401010|Diversified Biopharmaceuticals|6.46000003814697|8.22999954223633|6.13000011444092|19348|9.77171717171717|8.00491235904879|7.48000001907349|AA
BRCM|Broadcom Corporation Class A|12/31/2007|14043.92412|55|Technology|5510|Electronic Components and Manufacturing|551020|Semiconductor Manufacturing|55102040|Specialized Semiconductors|5510204020|Other Specialized Semiconductors|551020402010|Other Specialized Semiconductors|6|5.5|4.94000005722046|3776.395|6.53715192787728|2.96026138701541|3.89000010490417|BB
BF.B|Brown-Forman Corporation Class B|12/31/2007|9147.17497|50|Consumer Non-Cyclicals|5015|Food and Tobacco Production|501515|Food and Beverage Production|50151510|Beverages Production|5015151010|Alcoholic Beverage Production|501515101015|Distilleries|4.69000005722046|6|4.5|2433.5|3.80973874282458|18.4876813711169|4.1100001335144|BB
BC|Brunswick Corporation|12/31/2007|1490.9543|20|Consumer Cyclicals|2010|Consumer Goods|201015|Leisure Goods Products|20101515|Recreational Goods|2010151510|Boat Makers|201015151010|Boat Makers|3.57999992370605|4.5|3.05999994277954|5671.2|62.8736141906874|-0.674291118622679|4.19999980926514|BB
BNI|Burlington Northern Santa Fe LLC|12/31/2007|28939.40392|40|Industrials|4015|Industrial Services|401510|Cargo Transportation and Infrastructure Services|40151020|Road and Rail Transportation Operators|4015102010|Rail Transportation|401510201025|United States Class I Railroad Transportation|4.48000001907349|5.59000015258789|4.46999979019165|15802|44.0289774310393|5.45211878545212|4.59000015258789|BBB
BCR|C. R. Bard, Inc.|12/31/2007|9498.1178916|35|Healthcare|3520|Healthcare Equipment|352015|General Medical Devices|35201515|Diversified Medical Devices and Instruments|3520151510|Diversified Medical Devices and Instruments|352015151010|Diversified Medical Devices and Instruments|2.76999998092651|4.32000017166138|4.09999990463257|2202|20.7932011331445|10.9040543943591|1.71000003814697|B
CHRW|C.H. Robinson Worldwide, Inc.|12/31/2007|9244.88664|40|Industrials|4015|Industrial Services|401515|Delivery and Logistics Services|40151520|Logistics and Supply Chain Service Providers|4015152010|Logistics and Supply Chain Service Providers|401515201010|Logistics and Supply Chain Service Providers|NA|NA|NA|7316.223|42.0375948057918|11.5925337169706|NA|@NA
CA|CA, Inc.|12/31/2007|12714.92601135|55|Technology|5520|Software and Consulting|552015|Software|55201535|IT Infrastructure Software|5520153520|Diversified IT Infrastructure Software|552015352010|Diversified IT Infrastructure Software|6.30999994277954|8.0600004196167|7.21000003814697|4197|6.92970123022847|7.91977372075084|6.73999977111816|A
CPB|Campbell Soup Company|12/31/2007|13505.94|50|Consumer Non-Cyclicals|5015|Food and Tobacco Production|501515|Food and Beverage Production|50151515|Food Production|5015151530|Other Food Production|501515153025|Other Soups, Sauces and Condiments Production|4.28000020980835|6|5.59999990463257|8012|19.8661616161616|3.72863801139306|2.60999989509583|B
COF|Capital One Financial Corporation|12/31/2007|17621.0925639|30|Finance|3030|Specialty Finance and Services|303010|Specialty Finance|30301015|Consumer Finance Services|3030101520|Credit Cards|303010152010|Credit Cards|1.32000005245209|6.59999990463257|4.90000009536743|19435.428|48.3633467747033|27.5176672214509|4.88000011444092|BBB
