Symbol,Name,Date,mkt_val,rbics_econn,rbics_econ,rbics_sectn,rbics_sect,rbics_subsectn,rbics_subsect,rbics_indgrpn,rbics_indgrp,rbics_indn,rbics_ind,rbics_subindn,rbics_subind,msci_esg_env,msci_esg_gov,msci_esg_social,sales_total,sales_ps,sales_growth
A,"Agilent Technologies, Inc.",12/31/2007,13593.8,35,Healthcare,3520,Healthcare Equipment,352015,General Medical Devices,35201515,Diversified Medical Devices and Instruments,3520151510,Diversified Medical Devices and Instruments,3.52015E+11,Diversified Medical Devices and Instruments,7.019999981,8.949999809,7.579999924,5420,13.34975369,-2.254283138
APD,"Air Products and Chemicals, Inc.",12/31/2007,21151.01561,45,Non-Energy Materials,4510,"Chemical, Plastic and Rubber Materials",451010,Commodity Chemicals,45101015,Other Commodity Chemical Manufacturing,4510101515,Industrial Gas Manufacturing,4.5101E+11,Industrial Gas Manufacturing,6.400000095,7,8.06000042,10078.9,44.97222222,11.74442326
AKAM,"Akamai Technologies, Inc.",12/31/2007,5750.957275,55,Technology,5520,Software and Consulting,552010,Internet and Data Services,55201020,Internet Hosting Services,5520102010,Colocation and Data Center Services,5.5201E+11,Colocation and Data Center Services,5.289999962,6.619999886,6.889999866,636.406,3.438285412,48.45989474
AA,Alcoa Corp.,12/31/2007,30241.53579,45,Non-Energy Materials,4515,Mining and Mineral Products,451510,Metal Products,45151020,Primary Metals Products,4515102010,Alumina and Aluminum Products Manufacturing,4.5151E+11,Multi-Type Alumina and Aluminum Product Makers,-,-,-,30748,303.2451124,0.773466177
AYE,Allegheny Energy,12/31/2007,10640.23992,65,Utilities,6510,Utilities,651010,Energy Utilities,65101020,Other Electric and Natural Gas Utilities,6510102020,Other United States Energy Utilities,6.5101E+11,Other United States Energy Utilities,2.5,3.799999952,3.569999933,3307.02,19.51412656,5.943669832
ATI,Allegheny Technologies Incorporated,12/31/2007,8777.059258,-,-,-,-,-,-,-,-,-,-,-,-,3.109999895,3.200000048,3.430000067,5452.5,52.95745921,10.4505125
AGN.2,"Allergan, Inc.",12/31/2007,19651.46568,35,Healthcare,3510,Biopharmaceuticals,351015,Other Biopharmaceuticals,35101540,Diversified Biopharmaceuticals,3510154010,Diversified Biopharmaceuticals,3.51015E+11,Diversified Biopharmaceuticals,6.670000076,4.900000095,5.050000191,3958.9,12.75963719,29.68094864
AW,Allied Waste Industries Inc.,12/31/2007,4081.808,10,Business Services,1010,Business Services,101025,Waste Management Services,10102510,General Waste Collection,1010251010,General Waste Collection,1.01025E+11,General Waste Collection,3.880000114,5,4.039999962,6093.5,13.69909707,1.340451363
ALL,Allstate Corporation,12/31/2007,29405.49,30,Finance,3015,Insurance,301510,Insurance,30151020,Property and Casualty Insurance,3015102015,Personal Insurance,3.0151E+11,Other Personal Insurance,3.289999962,4.420000076,4.630000114,36785,61.531758,2.702627244
ALTR.1,Altera Corporation,12/31/2007,6066.84708,55,Technology,5510,Electronic Components and Manufacturing,551020,Semiconductor Manufacturing,55102035,Programmable Logic and ASIC Semiconductors,5510203515,Programmable Logic Device Semiconductors,5.5102E+11,Programmable Logic Device Semiconductors,5.949999809,4.5,5.440000057,1263.548,3.590583849,-1.710338497
MO,Altria Group Inc,12/31/2007,159298.2097,50,Consumer Non-Cyclicals,5015,Food and Tobacco Production,501520,Tobacco Production,50152010,Cigarette Manufacturing,5015201010,Cigarette Manufacturing,5.0152E+11,Cigarette Manufacturing,4.079999924,3,4.139999866,38051,7.189035917,-29.48033656
AMZN,"Amazon.com, Inc.",12/31/2007,38538.24,20,Consumer Cyclicals,2025,Consumer Retail,202515,Electronics and Entertainment Retail,20251520,Mixed Electronics and Entertainment Retail,2025152010,Mixed Electronics and Entertainment Retail,2.02515E+11,Mixed Electronics and Entertainment Retail,4.949999809,4.590000153,5.059999943,14835,34.98820755,38.50247409
ABKFQ,Ambac Financial Group Inc.,12/31/2007,2616.944093,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1053.905,13.39289574,-43.62603899
AEE,Ameren Corporation,12/31/2007,11291.943,65,Utilities,6510,Utilities,651010,Energy Utilities,65101010,Electric Utilities,6510101020,United States Regional Electric Utilities,6.5101E+11,United States Midwest Electric Utilities,3.99000001,3.519999981,5.389999866,7546,36.39344262,9.680232558
ACAS,American Capital Strategies Ltd.,12/31/2007,6456.864,30,Finance,3020,Investment Services,302010,Investment Services,30201020,Investment Holding Companies,3020102015,Business Development Companies,3.0201E+11,Business Development Companies,-,-,-,1460,8.253250424,59.55586641
AEP,"American Electric Power Company, Inc.",12/31/2007,18643.86734,65,Utilities,6510,Utilities,651010,Energy Utilities,65101010,Electric Utilities,6510101015,Other United States Electric Utilities,6.5101E+11,Other United States Electric Utilities,4.03000021,3.160000086,3.789999962,13380,33.43338369,6.005387419
AXP,American Express Company,12/31/2007,60239.16,30,Finance,3030,Specialty Finance and Services,303010,Specialty Finance,30301015,Consumer Finance Services,3030101535,General Consumer Finance Services,3.0301E+11,General Consumer Finance Services,2.950000048,6.940000057,6.190000057,32183,26.38545151,15.37606654
AIG,"American International Group, Inc.",12/31/2007,147474.7504,30,Finance,3015,Insurance,301510,Insurance,30151030,Diversified Insurance,3015103010,Diversified Insurance,3.0151E+11,Diversified Insurance,9.529999733,7.739999771,6.070000172,122432,951.8552733,8.161209958
AMT,American Tower Corporation,12/31/2007,17019.48989,60,Telecommunications,6010,Telecommunications,601010,Other Telecommunications Services,60101040,Telecommunications Industry Software and Services,6010104015,Wireless Infrastructure Services,6.0101E+11,Wireless Infrastructure Services,4.579999924,5.570000172,5.269999981,1451.694,3.409212846,9.745272285
AMP,"Ameriprise Financial, Inc.",12/31/2007,12551.18363,30,Finance,3020,Investment Services,302010,Investment Services,30201030,Diversified Investment,3020103010,Diversified Investment,3.0201E+11,Diversified Investment,3.789999962,4.829999924,4.670000076,8914,37.15714881,9.481699828
ABC,AmerisourceBergen Corporation,12/31/2007,7292.852614,35,Healthcare,3515,Healthcare Services,351510,Healthcare Support Services,35151020,Healthcare Distributors,3515102020,Other Pharmaceuticals Distributors,3.5151E+11,Other Pharmaceuticals Distributors,5.659999847,6.599999905,5.309999943,66721.834,175.8361773,5.446735209
AMGN,Amgen Inc.,12/31/2007,50480.28,35,Healthcare,3510,Biopharmaceuticals,351020,System-Specific Biopharmaceuticals,35102030,Hematology Biopharmaceuticals,3510203010,Hematology Biopharmaceuticals,3.5102E+11,Hematology Biopharmaceuticals,7.230000019,5.559999943,5.860000134,14771,13.15316118,3.525371461
APC,Anadarko Petroleum Corporation,12/31/2007,30742.92,25,Energy,2510,Upstream Energy,251015,Fossil Fuel Exploration and Production,25101510,Americas Fossil Fuel Exploration and Production,2510151015,Pan-US Fossil Fuel Exploration/Production,2.51015E+11,Pan-US Fossil Fuel Exploration/Production,3.609999895,2.109999895,3.299999952,11759,25.00854701,22.32393634
ADI,"Analog Devices, Inc.",12/31/2007,9616.327506,55,Technology,5510,Electronic Components and Manufacturing,551020,Semiconductor Manufacturing,55102010,Analog and Mixed Signal Semiconductors,5510201010,General Analog and Mixed Signal Semiconductors,5.5102E+11,General Analog and Mixed Signal Semiconductors,4.619999886,4.829999924,5.21999979,2689.536,7.417133864,4.522038135
BUD.2,Anheuser-Busch Companies Inc.,12/31/2007,37752.842,50,Consumer Non-Cyclicals,5015,Food and Tobacco Production,501515,Food and Beverage Production,50151510,Beverages Production,5015151010,Alcoholic Beverage Production,5.01515E+11,Breweries,-,-,-,16685.7,22.03896447,6.162714496
AON,Aon plc,12/31/2007,14512.067,30,Finance,3015,Insurance,301510,Insurance,30151010,Insurance Brokerage,3015101010,Insurance Brokerage,3.0151E+11,Insurance Brokerage,-,-,-,7467,23.15479876,-20.32650448
APA,Apache Corporation,12/31/2007,35802.98496,25,Energy,2510,Upstream Energy,251015,Fossil Fuel Exploration and Production,25101510,Americas Fossil Fuel Exploration and Production,2510151010,Other Americas Fossil Fuel Exploration/Production,2.51015E+11,Pan-Americas Fossil Fuel Exploration/Production,4.340000153,4.670000076,4.869999886,9994.617,29.87070079,21.76817083
AIV,Apartment Investment and Management Company Class A,12/31/2007,3338.615252,30,Finance,3025,Real Estate,302520,Real Estate Investment Trusts (REITs),30252015,Equity REITs,3025201510,Equity REITs,3.0252E+11,Apartment Equity REITs,3.329999924,5.340000153,4.739999771,1742.085,17.22976242,2.196771397
APOL,"Apollo Education Group, Inc. Class A",12/31/2007,11766.04905,50,Consumer Non-Cyclicals,5025,Household Services,502510,Personal Professional Services,50251010,Educational Services,5025101015,Post-Secondary Educational Services,5.0251E+11,Colleges,1,2.599999905,5.599999905,2836.681,15.68978071,12.79318791
AAPL,Apple Inc.,12/31/2007,174038.806,55,Technology,5515,Hardware,551520,Computer Hardware and Storage,55152015,Computer Systems,5515201515,Multi-Type Business and Personal Systems,5.5152E+11,Multi-Type Business and Personal Systems,6.619999886,5,5.650000095,26499,3.856358477,28.13210193
ABI,Applera Corp-Applied Biosystems,12/31/2007,5677.428688,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2150.359,11.00666141,6.450201256
AMAT,"Applied Materials, Inc.",12/31/2007,24610.22736,55,Technology,5510,Electronic Components and Manufacturing,551030,Semiconductor Equipment and Services,55103010,Semiconductor Manufacturing Capital Equipment,5510301015,Semiconductor Front End Processing Equipment,5.5103E+11,Other Front End Processing Equipment Makers,5.989999771,7.170000076,7.71999979,9734.856,6.821893732,6.194405288
ADM,Archer-Daniels-Midland Company,12/31/2007,29849.42913,50,Consumer Non-Cyclicals,5015,Food and Tobacco Production,501510,Agriculture,50151015,Crop Production,5015101525,Diversified Crop Production,5.0151E+11,Diversified Crop Production,3.720000029,5.5,4.900000095,52919.039,67.10060976,35.3665674
ASH,Ashland Inc.,12/31/2007,2983.473496,40,Industrials,4015,Industrial Services,401520,Diversified Industrials Distribution,40152015,Materials Distributors,4015201510,Chemical and Allied Products Distributors,4.0152E+11,Other Chemical and Allied Product Distributors,-,-,-,7888,123.5714286,-9.093004495
AIZ,"Assurant, Inc.",12/31/2007,7881.355668,30,Finance,3015,Insurance,301510,Insurance,30151030,Diversified Insurance,3015103010,Diversified Insurance,3.0151E+11,Diversified Insurance,4.070000172,4.53000021,5.429999828,8420.376,69.33963526,4.818602206
T,AT&T Inc.,12/31/2007,251169.7405,60,Telecommunications,6010,Telecommunications,601015,Wireless and Wireline Telecommunications Services,60101515,Wireline Services,6010151530,United States Wireline Services,6.01015E+11,Multi-Type United States Wireline Services,4.130000114,4.579999924,4.78000021,118928,19.27520259,88.49037166
ADSK,"Autodesk, Inc.",12/31/2007,11489.584,55,Technology,5520,Software and Consulting,552015,Software,55201510,Design and Engineering Software,5520151010,Computer Aided Design Software,5.52015E+11,Computer Aided Design (CAD) Software,7.860000134,6.570000172,7.570000172,2070.4,7.564144737,17.71662497
ADP,"Automatic Data Processing, Inc.",12/31/2007,23217.942,10,Business Services,1010,Business Services,101015,Other Professional Services,10101510,Administrative Services,1010151010,Administrative Employment Services,1.01015E+11,Other Human Resources Consulting and PEO Services,2.609999895,2.75999999,4.050000191,8277.1,13.98100018,-7.86125366
AN,"AutoNation, Inc.",12/31/2007,2824.383824,20,Consumer Cyclicals,2015,Miscellaneous Retail,201510,Auto Retail,20151015,Motor Vehicle Sales,2015101510,Automobile Dealers,2.0151E+11,New Car Dealers,3.180000067,5.590000153,5.03000021,17759.5,88.4575,-5.824614618
AZO,"AutoZone, Inc.",12/31/2007,7575.751922,20,Consumer Cyclicals,2015,Miscellaneous Retail,201510,Auto Retail,20151020,Motor Vehicles and Parts Sales and Rental,2015102015,"Automotive Parts, Accessories and Tires Sales",2.0151E+11,Automotive Parts and Accessories Stores,2.630000114,4.400000095,5.019999981,6232.39,88.33692228,3.815237764
AVB,"AvalonBay Communities, Inc.",12/31/2007,7278.77404,30,Finance,3025,Real Estate,302520,Real Estate Investment Trusts (REITs),30252015,Equity REITs,3025201510,Equity REITs,3.0252E+11,Apartment Equity REITs,4.179999828,5.96999979,3.75999999,819.152,10.177464,11.52481545
AVY,Avery Dennison Corporation,12/31/2007,5228.279707,45,Non-Energy Materials,4520,Manufactured Products,452010,Forestry and Paper Products,45201020,Paper and Paper Products,4520102015,Printing and Stationary Paper Products,4.5201E+11,Printing and Stationary Paper Products,4.199999809,3.640000105,4.130000114,6307.8,63.77957533,13.1261321
AVP,"Avon Products, Inc.",12/31/2007,16906.981,50,Consumer Non-Cyclicals,5020,Household Products,502020,Personal Care and Cleaning Products,50202025,General Personal Care and Cleaning Products Makers,5020202510,General Personal Care and Cleaning Products Makers,5.0202E+11,General Personal Care and Cleaning Products Makers,6.739999771,8.569999695,7.289999962,9938.7,22.74874682,13.40499093
BHGE,Baker Hughes Inc.,12/31/2007,25578.94,25,Energy,2510,Upstream Energy,251020,Support Activities for Oil and Gas Operations,25102015,Oil and Gas Field Support Activities,2510201510,Oil and Gas Field Equipment Manufacturing,2.5102E+11,Diverse Oil and Gas Field Equipment Manufacturing,5.590000153,4.670000076,3.5,10428.2,32.57794439,15.51720318
BLL,Ball Corporation,12/31/2007,4510.10025,45,Non-Energy Materials,4520,Manufactured Products,452015,Containers and Packaging,45201510,Metal Packaging Products,4520151010,Metal Cans and Closures Manufacturing,4.52015E+11,Metal Cans and Closures Manufacturing,2.849999905,3.170000076,5.389999866,7475.3,18.1863079,12.89435928
BAC,Bank of America Corporation,12/31/2007,183107.1524,30,Finance,3010,Banking,301020,United States Banks,30102010,United States Commercial Banks,3010201010,Other United States Commercial Banks,3.0102E+11,Other United States Commercial Banks,4.329999924,5,3.25999999,115537,25.79809091,2.410076406
BK,Bank of New York Mellon Corporation,12/31/2007,55878.14478,30,Finance,3020,Investment Services,302010,Investment Services,30201025,Securities Sales and Trading Services,3020102515,Other Securities Sales and Trading Services,3.0201E+11,Other Clearing and Settlement Services,4.010000229,1.620000005,4.070000172,14668,15.69266848,58.26499784
BRL,Barr Pharmaceuticals Inc.,12/31/2007,5724.720027,35,Healthcare,3510,Biopharmaceuticals,351015,Other Biopharmaceuticals,35101540,Diversified Biopharmaceuticals,3510154010,Diversified Biopharmaceuticals,3.51015E+11,Diversified Biopharmaceuticals,5.519999981,4.150000095,3.50999999,2506.406,23.01904613,36.75238951
BAX,Baxter International Inc.,12/31/2007,36782.67911,-,-,-,-,-,-,-,-,-,-,-,-,7.550000191,8.010000229,7.019999981,11263,17.22171254,8.527654654
BBT,BB&T Corporation,12/31/2007,16744.43985,30,Finance,3010,Banking,301020,United States Banks,30102010,United States Commercial Banks,3010201015,United States East and South Commercial Banks,3.0102E+11,United States South Atlantic Commercial Banks,5.090000153,5.190000057,8.039999962,10665,19.33829326,13.27100755
BSC.1,Bear Stearns Companies,12/31/2007,9972.128215,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,16151.382,110.2887637,-2.416934766
BDX,"Becton, Dickinson and Company",12/31/2007,20398.16638,35,Healthcare,3520,Healthcare Equipment,352015,General Medical Devices,35201515,Diversified Medical Devices and Instruments,3520151510,Diversified Medical Devices and Instruments,3.52015E+11,Diversified Medical Devices and Instruments,5.570000172,6.190000057,7.079999924,6563.949,24.93150583,10.83460593
BBBY,Bed Bath & Beyond Inc.,12/31/2007,7698.79867,20,Consumer Cyclicals,2025,Consumer Retail,202520,Home Improvement Retail,20252015,Furniture and Home Furnishings Stores,2025201520,Home Decor and Furnishings Stores,2.0252E+11,Home Decor and Furnishings Stores,2.980000019,3.730000019,4.150000095,7110.743,23.22263437,12.73077868
BMS,"Bemis Company, Inc.",12/31/2007,2752.19256,45,Non-Energy Materials,4520,Manufactured Products,452020,Other Materials,45202015,Diversified Materials,4520201510,Diversified Materials,4.5202E+11,Diversified Materials,3.24000001,4,5.329999924,3649.281,35.05081929,0.272520219
BBY,"Best Buy Co., Inc.",12/31/2007,22085.8326,20,Consumer Cyclicals,2025,Consumer Retail,202515,Electronics and Entertainment Retail,20251510,Electronics Retail,2025151025,General Electronics Retail,2.02515E+11,General Electronics Retail,4.739999771,6.289999962,5.199999809,39504,72.41837969,17.12523719
BIG,"Big Lots, Inc.",12/31/2007,1532.35368,50,Consumer Non-Cyclicals,5010,Food and Staples Retail,501015,General Merchandise Retail,50101515,Discount Stores,5010151510,General Discount Stores,5.01015E+11,General Discount Stores,1.450000048,4.409999847,2.089999914,4789.282,42.37512731,4.282675855
BIIB,Biogen Inc.,12/31/2007,16831.13016,35,Healthcare,3510,Biopharmaceuticals,351015,Other Biopharmaceuticals,35101540,Diversified Biopharmaceuticals,3510154010,Diversified Biopharmaceuticals,3.51015E+11,Diversified Biopharmaceuticals,2.980000019,4.78000021,4.139999866,2567.869,8.020454695,20.28700783
BJS,BJ Services Co,12/31/2007,7107.62202,25,Energy,2510,Upstream Energy,251020,Support Activities for Oil and Gas Operations,25102020,Oil and Gas Operations Support Activities,2510202040,Oil and Gas Well Servicing,2.5102E+11,Oil and Gas Well Servicing,3.920000076,2.329999924,4.96999979,4903.534,16.22896025,6.699628322
BDK,Black & Decker Corporation,12/31/2007,4382.637307,40,Industrials,4010,Industrial Manufacturing,401020,Machinery Manufacturing,40102035,Tools and Outdoor Care Equipment,4010203525,Tools and Outdoor Care Building Hand Tool Products,4.0102E+11,Tools and Outdoor Care Building Hand Tool Products,5.03000021,5.889999866,6.429999828,6563.2,99.44242424,1.79765173
BMC,"BMC Software, Inc.",12/31/2007,6871.392,55,Technology,5520,Software and Consulting,552015,Software,55201535,IT Infrastructure Software,5520153520,Diversified IT Infrastructure Software,5.52015E+11,Diversified IT Infrastructure Software,5.349999905,7.449999809,7.699999809,1684.1,7.518553758,7.342724202
BA,Boeing Company,12/31/2007,67173.12728,40,Industrials,4010,Industrial Manufacturing,401010,Aerospace and Defense Manufacturing,40101010,Aerospace Equipment,4010101010,Aviation Equipment,4.0101E+11,Aircraft Manufacturing,6.309999943,4.670000076,7.059999943,66387,85.93786408,7.893710385
BXP,"Boston Properties, Inc.",12/31/2007,10971.52315,30,Finance,3025,Real Estate,302520,Real Estate Investment Trusts (REITs),30252015,Equity REITs,3025201510,Equity REITs,3.0252E+11,Office Equity REITs,3.950000048,6.75,5.289999962,1392.583,11.52991389,-3.349830551
BSX,Boston Scientific Corporation,12/31/2007,17343.06201,35,Healthcare,3520,Healthcare Equipment,352015,General Medical Devices,35201510,System-Specific General Medical Devices,3520151010,Cardiology Medical Devices,3.52015E+11,Cardiology Non-Surgical Devices,3.640000105,2.339999914,2.950000048,8358,5.62041832,6.866129651
BMY,Bristol-Myers Squibb Company,12/31/2007,52350.48,35,Healthcare,3510,Biopharmaceuticals,351015,Other Biopharmaceuticals,35101540,Diversified Biopharmaceuticals,3510154010,Diversified Biopharmaceuticals,3.51015E+11,Diversified Biopharmaceuticals,6.460000038,8.229999542,6.130000114,19348,9.771717172,8.004912359
BRCM,Broadcom Corporation Class A,12/31/2007,14043.92412,55,Technology,5510,Electronic Components and Manufacturing,551020,Semiconductor Manufacturing,55102040,Specialized Semiconductors,5510204020,Other Specialized Semiconductors,5.5102E+11,Other Specialized Semiconductors,6,5.5,4.940000057,3776.395,6.537151928,2.960261387
BF.B,Brown-Forman Corporation Class B,12/31/2007,9147.17497,50,Consumer Non-Cyclicals,5015,Food and Tobacco Production,501515,Food and Beverage Production,50151510,Beverages Production,5015151010,Alcoholic Beverage Production,5.01515E+11,Distilleries,4.690000057,6,4.5,2433.5,3.809738743,18.48768137
BC,Brunswick Corporation,12/31/2007,1490.9543,20,Consumer Cyclicals,2010,Consumer Goods,201015,Leisure Goods Products,20101515,Recreational Goods,2010151510,Boat Makers,2.01015E+11,Boat Makers,3.579999924,4.5,3.059999943,5671.2,62.87361419,-0.674291119
BNI,Burlington Northern Santa Fe LLC,12/31/2007,28939.40392,40,Industrials,4015,Industrial Services,401510,Cargo Transportation and Infrastructure Services,40151020,Road and Rail Transportation Operators,4015102010,Rail Transportation,4.0151E+11,United States Class I Railroad Transportation,4.480000019,5.590000153,4.46999979,15802,44.02897743,5.452118785
BCR,"C. R. Bard, Inc.",12/31/2007,9498.117892,35,Healthcare,3520,Healthcare Equipment,352015,General Medical Devices,35201515,Diversified Medical Devices and Instruments,3520151510,Diversified Medical Devices and Instruments,3.52015E+11,Diversified Medical Devices and Instruments,2.769999981,4.320000172,4.099999905,2202,20.79320113,10.90405439
CHRW,"C.H. Robinson Worldwide, Inc.",12/31/2007,9244.88664,40,Industrials,4015,Industrial Services,401515,Delivery and Logistics Services,40151520,Logistics and Supply Chain Service Providers,4015152010,Logistics and Supply Chain Service Providers,4.01515E+11,Logistics and Supply Chain Service Providers,-,-,-,7316.223,42.03759481,11.59253372
CA,"CA, Inc.",12/31/2007,12714.92601,55,Technology,5520,Software and Consulting,552015,Software,55201535,IT Infrastructure Software,5520153520,Diversified IT Infrastructure Software,5.52015E+11,Diversified IT Infrastructure Software,6.309999943,8.06000042,7.210000038,4197,6.92970123,7.919773721
CPB,Campbell Soup Company,12/31/2007,13505.94,50,Consumer Non-Cyclicals,5015,Food and Tobacco Production,501515,Food and Beverage Production,50151515,Food Production,5015151530,Other Food Production,5.01515E+11,"Other Soups, Sauces and Condiments Production",4.28000021,6,5.599999905,8012,19.86616162,3.728638011
COF,Capital One Financial Corporation,12/31/2007,17621.09256,30,Finance,3030,Specialty Finance and Services,303010,Specialty Finance,30301015,Consumer Finance Services,3030101520,Credit Cards,3.0301E+11,Credit Cards,1.320000052,6.599999905,4.900000095,19435.428,48.36334677,27.51766722
CAH,"Cardinal Health, Inc.",12/31/2007,20686.05,35,Healthcare,3515,Healthcare Services,351510,Healthcare Support Services,35151020,Healthcare Distributors,3515102020,Other Pharmaceuticals Distributors,3.5151E+11,Other Pharmaceuticals Distributors,6.03000021,5.800000191,5.940000057,89386.1,214.6083519,4.560922057
CCL.U,Carnival Corporation,12/31/2007,35013.63,15,Consumer Services,1510,Hospitality Services,151010,Hospitality Services,15101010,Accommodation Providers,1510101010,Cruise Lines,1.5101E+11,Ocean-Going Cruise Lines,4.889999866,3.130000114,3.359999895,13033,15.74033816,10.07601351
CAT,Caterpillar Inc.,12/31/2007,45276.43388,40,Industrials,4010,Industrial Manufacturing,401020,Machinery Manufacturing,40102025,Natural Resource and Construction Machinery Makers,4010202530,Natural Resource/Construction Machinery Products,4.0102E+11,Natural Resource/Construction Machinery Products,4.559999943,5.989999771,4.03000021,44958,68.16982563,8.288171111
CBRE,CB Richard Ellis Group Inc.,12/31/2007,4344.363458,30,Finance,3025,Real Estate,302515,Real Estate Investment and Services,30251510,Other Real Estate Investment and Services,3025151010,Commercial Real Estate Services and Brokerage,3.02515E+11,Commercial Real Estate Services and Brokers,4.019999981,5.519999981,4.71999979,6034.249,25.6800087,49.6579512
CBS,CBS Corporation Class B,12/31/2007,18309.275,15,Consumer Services,1515,Media and Publishing Services,151510,Media and Publishing Services,15151015,Entertainment and Programming Providers,1515101510,Other Entertainment and Programming Providers,1.5151E+11,General Entertainment and Programming,1.919999957,4.710000038,4.619999886,14072.9,19.49425128,-1.770831879
CELG,Celgene Corporation,12/31/2007,18628.38675,35,Healthcare,3510,Biopharmaceuticals,351010,Non-System-Specific Biopharmaceuticals,35101015,Oncology Biopharmaceuticals,3510101520,Other Oncology Biopharmaceuticals,3.5101E+11,Other Oncology Biopharmaceuticals,2.359999895,3.609999895,3.470000029,1405.82,1.627641493,56.39806736
CNP,"CenterPoint Energy, Inc.",12/31/2007,5532.99,65,Utilities,6510,Utilities,651010,Energy Utilities,65101015,Natural Gas Utilities,6510101515,United States Natural Gas Utilities,6.5101E+11,United States Natural Gas Utilities,3.700000048,4.389999866,5.210000038,9623,28.09577614,3.262152591
CTX,Centex Corp.,12/31/2007,3088.0544,30,Finance,3025,Real Estate,302510,Home Builders and Manufactured Buildings,30251010,Home Builders,3025101010,Home Builders,3.0251E+11,Home Builders,2.529999971,1.879999995,2.849999905,8202.333,98.62181591,-38.80290448
CTL,"CenturyLink, Inc.",12/31/2007,4498.067375,60,Telecommunications,6010,Telecommunications,601015,Wireless and Wireline Telecommunications Services,60101515,Wireline Services,6010151530,United States Wireline Services,6.01015E+11,Other United States Wireline Voice Services,1.129999995,4.5,2.890000105,2656.241,23.48701965,8.518545755
SCHW,Charles Schwab Corporation,12/31/2007,29658.8651,30,Finance,3020,Investment Services,302010,Investment Services,30201025,Securities Sales and Trading Services,3020102510,Brokerage Services,3.0201E+11,Retail Brokerage Services,5,4.389999866,5.25,5617,4.596563011,1.043353121
