Symbol,Name,Date,mkt_val,rbics_econn,rbics_econ,rbics_sectn,rbics_sect,rbics_subsectn,rbics_subsect,rbics_indgrpn,rbics_indgrp,rbics_indn,rbics_ind,rbics_subindn,rbics_subind,msci_esg_env,msci_esg_gov,msci_esg_social
AVP,"Avon Products, Inc.",12/31/2007,16906.981,50,Consumer Non-Cyclicals,5020,Household Products,502020,Personal Care and Cleaning Products,50202025,General Personal Care and Cleaning Products Makers,5020202510,General Personal Care and Cleaning Products Makers,5.0202E+11,General Personal Care and Cleaning Products Makers,6.739999771,8.569999695,7.289999962
BHGE,Baker Hughes Inc.,12/31/2007,25578.94,25,Energy,2510,Upstream Energy,251020,Support Activities for Oil and Gas Operations,25102015,Oil and Gas Field Support Activities,2510201510,Oil and Gas Field Equipment Manufacturing,2.5102E+11,Diverse Oil and Gas Field Equipment Manufacturing,5.590000153,4.670000076,3.5
BLL,Ball Corporation,12/31/2007,4510.10025,45,Non-Energy Materials,4520,Manufactured Products,452015,Containers and Packaging,45201510,Metal Packaging Products,4520151010,Metal Cans and Closures Manufacturing,4.52015E+11,Metal Cans and Closures Manufacturing,2.849999905,3.170000076,5.389999866
BAC,Bank of America Corporation,12/31/2007,183107.1524,30,Finance,3010,Banking,301020,United States Banks,30102010,United States Commercial Banks,3010201010,Other United States Commercial Banks,3.0102E+11,Other United States Commercial Banks,4.329999924,5,3.25999999
BK,Bank of New York Mellon Corporation,12/31/2007,55878.14478,30,Finance,3020,Investment Services,302010,Investment Services,30201025,Securities Sales and Trading Services,3020102515,Other Securities Sales and Trading Services,3.0201E+11,Other Clearing and Settlement Services,4.010000229,1.620000005,4.070000172
BRL,Barr Pharmaceuticals Inc.,12/31/2007,5724.720027,35,Healthcare,3510,Biopharmaceuticals,351015,Other Biopharmaceuticals,35101540,Diversified Biopharmaceuticals,3510154010,Diversified Biopharmaceuticals,3.51015E+11,Diversified Biopharmaceuticals,5.519999981,4.150000095,3.50999999
BAX,Baxter International Inc.,12/31/2007,36782.67911,-,-,-,-,-,-,-,-,-,-,-,-,7.550000191,8.010000229,7.019999981
BBT,BB&T Corporation,12/31/2007,16744.43985,30,Finance,3010,Banking,301020,United States Banks,30102010,United States Commercial Banks,3010201015,United States East and South Commercial Banks,3.0102E+11,United States South Atlantic Commercial Banks,5.090000153,5.190000057,8.039999962
BSC.1,Bear Stearns Companies,12/31/2007,9972.128215,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
BDX,"Becton, Dickinson and Company",12/31/2007,20398.16638,35,Healthcare,3520,Healthcare Equipment,352015,General Medical Devices,35201515,Diversified Medical Devices and Instruments,3520151510,Diversified Medical Devices and Instruments,3.52015E+11,Diversified Medical Devices and Instruments,5.570000172,6.190000057,7.079999924
BBBY,Bed Bath & Beyond Inc.,12/31/2007,7698.79867,20,Consumer Cyclicals,2025,Consumer Retail,202520,Home Improvement Retail,20252015,Furniture and Home Furnishings Stores,2025201520,Home Decor and Furnishings Stores,2.0252E+11,Home Decor and Furnishings Stores,2.980000019,3.730000019,4.150000095
BMS,"Bemis Company, Inc.",12/31/2007,2752.19256,45,Non-Energy Materials,4520,Manufactured Products,452020,Other Materials,45202015,Diversified Materials,4520201510,Diversified Materials,4.5202E+11,Diversified Materials,3.24000001,4,5.329999924
BBY,"Best Buy Co., Inc.",12/31/2007,22085.8326,20,Consumer Cyclicals,2025,Consumer Retail,202515,Electronics and Entertainment Retail,20251510,Electronics Retail,2025151025,General Electronics Retail,2.02515E+11,General Electronics Retail,4.739999771,6.289999962,5.199999809
BIG,"Big Lots, Inc.",12/31/2007,1532.35368,50,Consumer Non-Cyclicals,5010,Food and Staples Retail,501015,General Merchandise Retail,50101515,Discount Stores,5010151510,General Discount Stores,5.01015E+11,General Discount Stores,1.450000048,4.409999847,2.089999914
BIIB,Biogen Inc.,12/31/2007,16831.13016,35,Healthcare,3510,Biopharmaceuticals,351015,Other Biopharmaceuticals,35101540,Diversified Biopharmaceuticals,3510154010,Diversified Biopharmaceuticals,3.51015E+11,Diversified Biopharmaceuticals,2.980000019,4.78000021,4.139999866
BJS,BJ Services Co,12/31/2007,7107.62202,25,Energy,2510,Upstream Energy,251020,Support Activities for Oil and Gas Operations,25102020,Oil and Gas Operations Support Activities,2510202040,Oil and Gas Well Servicing,2.5102E+11,Oil and Gas Well Servicing,3.920000076,2.329999924,4.96999979
BDK,Black & Decker Corporation,12/31/2007,4382.637307,40,Industrials,4010,Industrial Manufacturing,401020,Machinery Manufacturing,40102035,Tools and Outdoor Care Equipment,4010203525,Tools and Outdoor Care Building Hand Tool Products,4.0102E+11,Tools and Outdoor Care Building Hand Tool Products,5.03000021,5.889999866,6.429999828
BMC,"BMC Software, Inc.",12/31/2007,6871.392,55,Technology,5520,Software and Consulting,552015,Software,55201535,IT Infrastructure Software,5520153520,Diversified IT Infrastructure Software,5.52015E+11,Diversified IT Infrastructure Software,5.349999905,7.449999809,7.699999809
BA,Boeing Company,12/31/2007,67173.12728,40,Industrials,4010,Industrial Manufacturing,401010,Aerospace and Defense Manufacturing,40101010,Aerospace Equipment,4010101010,Aviation Equipment,4.0101E+11,Aircraft Manufacturing,6.309999943,4.670000076,7.059999943
BXP,"Boston Properties, Inc.",12/31/2007,10971.52315,30,Finance,3025,Real Estate,302520,Real Estate Investment Trusts (REITs),30252015,Equity REITs,3025201510,Equity REITs,3.0252E+11,Office Equity REITs,3.950000048,6.75,5.289999962
BSX,Boston Scientific Corporation,12/31/2007,17343.06201,35,Healthcare,3520,Healthcare Equipment,352015,General Medical Devices,35201510,System-Specific General Medical Devices,3520151010,Cardiology Medical Devices,3.52015E+11,Cardiology Non-Surgical Devices,3.640000105,2.339999914,2.950000048
BMY,Bristol-Myers Squibb Company,12/31/2007,52350.48,35,Healthcare,3510,Biopharmaceuticals,351015,Other Biopharmaceuticals,35101540,Diversified Biopharmaceuticals,3510154010,Diversified Biopharmaceuticals,3.51015E+11,Diversified Biopharmaceuticals,6.460000038,8.229999542,6.130000114
BRCM,Broadcom Corporation Class A,12/31/2007,14043.92412,55,Technology,5510,Electronic Components and Manufacturing,551020,Semiconductor Manufacturing,55102040,Specialized Semiconductors,5510204020,Other Specialized Semiconductors,5.5102E+11,Other Specialized Semiconductors,6,5.5,4.940000057
BF.B,Brown-Forman Corporation Class B,12/31/2007,9147.17497,50,Consumer Non-Cyclicals,5015,Food and Tobacco Production,501515,Food and Beverage Production,50151510,Beverages Production,5015151010,Alcoholic Beverage Production,5.01515E+11,Distilleries,4.690000057,6,4.5
BC,Brunswick Corporation,12/31/2007,1490.9543,20,Consumer Cyclicals,2010,Consumer Goods,201015,Leisure Goods Products,20101515,Recreational Goods,2010151510,Boat Makers,2.01015E+11,Boat Makers,3.579999924,4.5,3.059999943
BNI,Burlington Northern Santa Fe LLC,12/31/2007,28939.40392,40,Industrials,4015,Industrial Services,401510,Cargo Transportation and Infrastructure Services,40151020,Road and Rail Transportation Operators,4015102010,Rail Transportation,4.0151E+11,United States Class I Railroad Transportation,4.480000019,5.590000153,4.46999979
BCR,"C. R. Bard, Inc.",12/31/2007,9498.117892,35,Healthcare,3520,Healthcare Equipment,352015,General Medical Devices,35201515,Diversified Medical Devices and Instruments,3520151510,Diversified Medical Devices and Instruments,3.52015E+11,Diversified Medical Devices and Instruments,2.769999981,4.320000172,4.099999905
CHRW,"C.H. Robinson Worldwide, Inc.",12/31/2007,9244.88664,40,Industrials,4015,Industrial Services,401515,Delivery and Logistics Services,40151520,Logistics and Supply Chain Service Providers,4015152010,Logistics and Supply Chain Service Providers,4.01515E+11,Logistics and Supply Chain Service Providers,-,-,-
CA,"CA, Inc.",12/31/2007,12714.92601,55,Technology,5520,Software and Consulting,552015,Software,55201535,IT Infrastructure Software,5520153520,Diversified IT Infrastructure Software,5.52015E+11,Diversified IT Infrastructure Software,6.309999943,8.06000042,7.210000038
CPB,Campbell Soup Company,12/31/2007,13505.94,50,Consumer Non-Cyclicals,5015,Food and Tobacco Production,501515,Food and Beverage Production,50151515,Food Production,5015151530,Other Food Production,5.01515E+11,"Other Soups, Sauces and Condiments Production",4.28000021,6,5.599999905
COF,Capital One Financial Corporation,12/31/2007,17621.09256,30,Finance,3030,Specialty Finance and Services,303010,Specialty Finance,30301015,Consumer Finance Services,3030101520,Credit Cards,3.0301E+11,Credit Cards,1.320000052,6.599999905,4.900000095
CAH,"Cardinal Health, Inc.",12/31/2007,20686.05,35,Healthcare,3515,Healthcare Services,351510,Healthcare Support Services,35151020,Healthcare Distributors,3515102020,Other Pharmaceuticals Distributors,3.5151E+11,Other Pharmaceuticals Distributors,6.03000021,5.800000191,5.940000057
CCL.U,Carnival Corporation,12/31/2007,35013.63,15,Consumer Services,1510,Hospitality Services,151010,Hospitality Services,15101010,Accommodation Providers,1510101010,Cruise Lines,1.5101E+11,Ocean-Going Cruise Lines,4.889999866,3.130000114,3.359999895
CAT,Caterpillar Inc.,12/31/2007,45276.43388,40,Industrials,4010,Industrial Manufacturing,401020,Machinery Manufacturing,40102025,Natural Resource and Construction Machinery Makers,4010202530,Natural Resource/Construction Machinery Products,4.0102E+11,Natural Resource/Construction Machinery Products,4.559999943,5.989999771,4.03000021
CBRE,CB Richard Ellis Group Inc.,12/31/2007,4344.363458,30,Finance,3025,Real Estate,302515,Real Estate Investment and Services,30251510,Other Real Estate Investment and Services,3025151010,Commercial Real Estate Services and Brokerage,3.02515E+11,Commercial Real Estate Services and Brokers,4.019999981,5.519999981,4.71999979
CBS,CBS Corporation Class B,12/31/2007,18309.275,15,Consumer Services,1515,Media and Publishing Services,151510,Media and Publishing Services,15151015,Entertainment and Programming Providers,1515101510,Other Entertainment and Programming Providers,1.5151E+11,General Entertainment and Programming,1.919999957,4.710000038,4.619999886
CELG,Celgene Corporation,12/31/2007,18628.38675,35,Healthcare,3510,Biopharmaceuticals,351010,Non-System-Specific Biopharmaceuticals,35101015,Oncology Biopharmaceuticals,3510101520,Other Oncology Biopharmaceuticals,3.5101E+11,Other Oncology Biopharmaceuticals,2.359999895,3.609999895,3.470000029
CNP,"CenterPoint Energy, Inc.",12/31/2007,5532.99,65,Utilities,6510,Utilities,651010,Energy Utilities,65101015,Natural Gas Utilities,6510101515,United States Natural Gas Utilities,6.5101E+11,United States Natural Gas Utilities,3.700000048,4.389999866,5.210000038
CTX,Centex Corp.,12/31/2007,3088.0544,30,Finance,3025,Real Estate,302510,Home Builders and Manufactured Buildings,30251010,Home Builders,3025101010,Home Builders,3.0251E+11,Home Builders,2.529999971,1.879999995,2.849999905
CTL,"CenturyLink, Inc.",12/31/2007,4498.067375,60,Telecommunications,6010,Telecommunications,601015,Wireless and Wireline Telecommunications Services,60101515,Wireline Services,6010151530,United States Wireline Services,6.01015E+11,Other United States Wireline Voice Services,1.129999995,4.5,2.890000105
SCHW,Charles Schwab Corporation,12/31/2007,29658.8651,30,Finance,3020,Investment Services,302010,Investment Services,30201025,Securities Sales and Trading Services,3020102510,Brokerage Services,3.0201E+11,Retail Brokerage Services,5,4.389999866,5.25
CHK,Chesapeake Energy Corporation,12/31/2007,20036.97792,25,Energy,2510,Upstream Energy,251015,Fossil Fuel Exploration and Production,25101510,Americas Fossil Fuel Exploration and Production,2510151020,US Southern Fossil Fuel Exploration/Production,2.51015E+11,Mid-Continent Fossil Fuel Exploration/Production,3.75,6.21999979,4.039999962
CVX,Chevron Corporation,12/31/2007,195100.2017,25,Energy,2510,Upstream Energy,251015,Fossil Fuel Exploration and Production,25101520,Other Fossil Fuel Exploration and Production,2510152025,Multinational Fossil Fuel Exploration/Production,2.51015E+11,Multinational Fossil Fuel Exploration/Production,6.679999828,6.170000076,5.5
CB.1,Chubb Corporation,12/31/2007,20448.3928,30,Finance,3015,Insurance,301510,Insurance,30151020,Property and Casualty Insurance,3015102010,Commercial Insurance,3.0151E+11,Diversified Commercial Insurance,3.970000029,3.470000029,4.300000191
CIEN,Ciena Corporation,12/31/2007,2959.113074,55,Technology,5515,Hardware,551515,Communications Equipment,55151535,Wide Area Networking Equipment,5515153530,Other Wide Area Networking Equipment,5.51515E+11,Other Wide Area Networking (WAN) Equipment,2.930000067,4.300000191,3.430000067
CI,Cigna Corporation,12/31/2007,15022.26324,35,Healthcare,3515,Healthcare Services,351510,Healthcare Support Services,35151010,Health Plan Providers,3515101015,Other Health Plans,3.5151E+11,Other Health Plans,4.039999962,7,7.050000191
CINF,Cincinnati Financial Corporation,12/31/2007,6563.64,30,Finance,3015,Insurance,301510,Insurance,30151020,Property and Casualty Insurance,3015102010,Commercial Insurance,3.0151E+11,Multi-Type Commercial Insurance,4.130000114,4.630000114,4.610000134
CTAS,Cintas Corporation,12/31/2007,5166.630927,10,Business Services,1010,Business Services,101020,Business Support Services,10102010,Facilities and Other Support Services,1010201015,Other Support Services,1.0102E+11,Linen and Uniform Supply Services,5.309999943,5.400000095,4.989999771
CCTYQ,"Circuit City Stores, Inc.",12/31/2007,707.1870036,20,Consumer Cyclicals,2025,Consumer Retail,202515,Electronics and Entertainment Retail,20251510,Electronics Retail,2025151020,Consumer Electronics Stores,2.02515E+11,Consumer Electronics Stores,3.470000029,4.800000191,3.059999943
CSCO,"Cisco Systems, Inc.",12/31/2007,164639.1318,55,Technology,5515,Hardware,551515,Communications Equipment,55151525,Other Communications Equipment,5515152510,General Communications Equipment,5.51515E+11,General Communications Equipment,7.420000076,7.300000191,7.21999979
CITGQ,CIT Group Inc. (Old),12/31/2007,4563.91224,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
C,Citigroup Inc.,12/31/2007,147040.4799,30,Finance,3020,Investment Services,302010,Investment Services,30201030,Diversified Investment,3020103010,Diversified Investment,3.0201E+11,Diversified Investment,5.630000114,6.110000134,5.340000153
FTR,Citizens Communications Co.,12/31/2007,4172.24477,60,Telecommunications,6010,Telecommunications,601015,Wireless and Wireline Telecommunications Services,60101515,Wireline Services,6010151530,United States Wireline Services,6.01015E+11,Other United States Wireline Voice Services,2.039999962,4.420000076,3.170000076
CTXS,"Citrix Systems, Inc.",12/31/2007,7121.5536,55,Technology,5520,Software and Consulting,552015,Software,55201535,IT Infrastructure Software,5520153530,Network Infrastructure Software,5.52015E+11,Network Administration Software,5.349999905,7.449999809,7.440000057
